               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10407,            0.031225,            0.040689,           0.0055821,             0.91317,            0.039384,           0.0086348,            0.096964,            0.014306,            0.038196,              0.0829,              0.0019,              0.0019
                   1,            0.077406,             0.03847,            0.033425,              0.5686,              0.4972,             0.37141,             0.13521,              0.0742,            0.012875,            0.036401,            0.064845,           0.0038448,           0.0038448
                   2,            0.062241,            0.031538,            0.026676,             0.65078,             0.52941,             0.42342,             0.19979,            0.079115,            0.011238,            0.023355,            0.046733,           0.0057331,           0.0057331
                   3,            0.059838,            0.027301,            0.021604,             0.67079,             0.51261,             0.38281,             0.17235,            0.080846,           0.0085576,              0.0172,            0.028565,           0.0075648,           0.0075648
                   4,             0.05952,            0.025283,            0.016655,             0.71092,             0.58686,             0.45314,             0.26507,            0.081253,           0.0072033,            0.014852,             0.01034,           0.0093399,           0.0093399
                   5,            0.056886,            0.025306,            0.016568,             0.86483,             0.59054,             0.76992,             0.42539,            0.070354,           0.0071149,            0.010279,           0.0092929,           0.0092929,           0.0092929
                   6,            0.051896,            0.024301,             0.01395,             0.84286,             0.62325,             0.79264,              0.4638,            0.065083,           0.0065016,           0.0093201,           0.0092929,           0.0092929,           0.0092929
                   7,            0.048317,            0.023574,            0.013269,             0.44606,             0.91832,             0.65381,             0.32763,            0.075938,            0.007491,           0.0061523,           0.0091514,           0.0091514,           0.0091514
                   8,            0.044481,            0.023161,             0.01114,             0.52221,             0.93277,             0.80414,             0.57849,            0.063581,            0.006545,           0.0045805,             0.00901,             0.00901,             0.00901
                   9,            0.044209,            0.022679,            0.011202,              0.5865,             0.77801,             0.73781,             0.54323,            0.063302,           0.0061722,           0.0053879,           0.0088686,           0.0088686,           0.0088686
                  10,            0.040454,            0.020668,           0.0093793,             0.71937,             0.69696,             0.80584,             0.56336,             0.05483,           0.0074285,           0.0080315,           0.0087271,           0.0087271,           0.0087271
                  11,            0.038566,            0.020913,           0.0089394,             0.75565,             0.73039,             0.85339,             0.51112,            0.061423,           0.0072149,           0.0062937,           0.0085857,           0.0085857,           0.0085857
                  12,             0.03884,            0.020977,           0.0094915,             0.80717,             0.80487,             0.85064,             0.51377,            0.053718,           0.0068615,           0.0058765,           0.0084443,           0.0084443,           0.0084443
                  13,            0.038078,            0.020955,           0.0088452,             0.71801,             0.88515,             0.84417,              0.4648,             0.04672,           0.0071868,           0.0039667,           0.0083029,           0.0083029,           0.0083029
                  14,            0.035939,            0.020672,           0.0079315,             0.78563,             0.86848,             0.88776,             0.55059,            0.045094,           0.0073653,            0.004625,           0.0081614,           0.0081614,           0.0081614
                  15,            0.035807,            0.019945,           0.0079838,             0.89243,             0.93277,             0.92266,             0.65568,            0.038033,            0.005471,           0.0023262,             0.00802,             0.00802,             0.00802
                  16,            0.035432,            0.020891,           0.0074598,             0.84782,             0.92514,             0.90933,             0.62102,            0.042742,           0.0058664,           0.0026371,           0.0078786,           0.0078786,           0.0078786
                  17,            0.032886,            0.020174,           0.0071762,             0.90329,             0.92087,             0.91743,             0.54044,            0.048806,           0.0056825,           0.0024605,           0.0077371,           0.0077371,           0.0077371
                  18,            0.033849,            0.019861,           0.0062544,             0.88846,             0.93277,             0.91983,             0.65311,            0.038922,           0.0053576,           0.0025769,           0.0075957,           0.0075957,           0.0075957
                  19,            0.032367,            0.018921,           0.0065339,              0.8851,             0.93277,             0.92002,             0.73447,            0.041841,            0.005524,           0.0034903,           0.0074543,           0.0074543,           0.0074543
                  20,            0.032241,            0.019355,           0.0064803,             0.89169,             0.93263,             0.94408,             0.69768,            0.039061,            0.005025,           0.0014807,           0.0073129,           0.0073129,           0.0073129
                  21,            0.033484,            0.019972,           0.0062982,             0.90375,             0.93277,             0.94203,             0.70159,             0.03962,           0.0050918,           0.0012534,           0.0071714,           0.0071714,           0.0071714
                  22,            0.031388,             0.01935,           0.0073262,             0.86934,             0.93277,              0.9014,             0.68716,            0.043323,           0.0051297,            0.001766,             0.00703,             0.00703,             0.00703
                  23,            0.030783,            0.019224,            0.006424,             0.89681,             0.91922,             0.91308,             0.68664,            0.050308,           0.0056072,           0.0015015,           0.0068886,           0.0068886,           0.0068886
                  24,            0.030868,            0.018527,           0.0063575,             0.85734,             0.88515,             0.86781,             0.66978,            0.047079,           0.0058404,           0.0019173,           0.0067471,           0.0067471,           0.0067471
                  25,            0.029621,            0.018376,           0.0058619,             0.89938,             0.93277,             0.90449,             0.72035,            0.043862,           0.0056222,           0.0015607,           0.0066057,           0.0066057,           0.0066057
                  26,            0.028945,            0.017743,             0.00541,             0.91762,             0.92627,             0.90828,             0.68967,            0.046705,            0.005098,           0.0014125,           0.0064643,           0.0064643,           0.0064643
